[[{"級別":"L2","單字":"ability","答案1":"能力","答案2":"決定","答案3":"抵抗","答案4":"批評家"},
{"級別":"L2","單字":"arrest","答案1":"逮捕","答案2":"襯衫","答案3":"刻度盤","答案4":"鷹"},
{"級別":"L2","單字":"arrive","答案1":"到達","答案2":"熱心于","答案3":"刻度","答案4":"可靠的"},
{"級別":"L2","單字":"arrow","答案1":"箭","答案2":"逗留","答案3":"刺激","答案4":"外國的"},
{"級別":"L2","單字":"article","答案1":"文章","答案2":"腳步","答案3":"刺激","答案4":"森林"},
{"級別":"L2","單字":"artist","答案1":"藝術家","答案2":"人們","答案3":"刺","答案4":"危及"},
{"級別":"L2","單字":"asleep","答案1":"睡著的","答案2":"傢具","答案3":"刺","答案4":"差事"},
{"級別":"L2","單字":"assistant","答案1":"助手","答案2":"子句","答案3":"刺","答案4":"編譯"},
{"級別":"L2","單字":"attack","答案1":"進攻","答案2":"彗星","答案3":"刺","答案4":"授予"},
{"級別":"L2","單字":"attend","答案1":"出席","答案2":"注意","答案3":"刺","答案4":"煩惱"},
{"級別":"L2","單字":"attention","答案1":"注意","答案2":"頁","答案3":"刷子","答案4":"藍色；藍色的"},
{"級別":"L2","單字":"avoid","答案1":"避免","答案2":"星期四","答案3":"制冰淇淋者","答案4":"快樂的"},
{"級別":"L2","單字":"baby-sit","答案1":"擔任臨時保姆","答案2":"口","答案3":"到達","答案4":"任何事"},
{"級別":"L2","單字":"baby-sitter","答案1":"代人臨時照看嬰孩者","答案2":"公文","答案3":"刮","答案4":"姓名地址錄"},
{"級別":"L2","單字":"backward","答案1":"向後地","答案2":"北","答案3":"初學者","答案4":"籃球"},
{"級別":"L2","單字":"backwards","答案1":"向後","答案2":"象牙","答案3":"典型的","答案4":"畢業"},
{"級別":"L2","單字":"bake","答案1":"烘焙","答案2":"妥協","答案3":"具有資格","答案4":"同...矛盾"},
{"級別":"L2","單字":"bakery","答案1":"麵包店","答案2":"也","答案3":"其間","答案4":"進攻"},
{"級別":"L2","單字":"balcony","答案1":"陽臺","答案2":"粘緊","答案3":"兩極的","答案4":"補足物"},
{"級別":"L2","單字":"bamboo","答案1":"竹子","答案2":"六","答案3":"兩倍","答案4":"曾經"},
{"級別":"L2","單字":"banker","答案1":"銀行家","答案2":"十年","答案3":"依賴","答案4":"軟木塞"},
{"級別":"L2","單字":"barbecue","答案1":"吃烤燒肉的野餐","答案2":"幾個","答案3":"依靠","答案4":"一打"},
{"級別":"L2","單字":"bark","答案1":"樹皮","答案2":"避開","答案3":"例行公事","答案4":"國防部"},
{"級別":"L2","單字":"basement","答案1":"地下室","答案2":"課程","答案3":"來復槍","答案4":"牙齒的"},
{"級別":"L2","單字":"basic","答案1":"基本","答案2":"老虎","答案3":"使驚嚇；驚恐","答案4":"有"},
{"級別":"L2","單字":"basis","答案1":"基礎","答案2":"浸","答案3":"使擺脫","答案4":"暗示"},
{"級別":"L2","單字":"battle","答案1":"戰役","答案2":"財富","答案3":"使餓死；餓得要死","答案4":"放大"},
{"級別":"L2","單字":"bead","答案1":"珠子","答案2":"微弱的閃光","答案3":"使暈倒","答案4":"探險"},
{"級別":"L2","單字":"bean","答案1":"豆","答案2":"攻擊","答案3":"使現代化","答案4":"末棒運動員"},
{"級別":"L2","單字":"bear","答案1":"熊；負擔","答案2":"內陸的","答案3":"使現代化","答案4":"照明"},
{"級別":"L2","單字":"beard","答案1":"鬍鬚","答案2":"門房","答案3":"使凋謝","答案4":"易怒的"},
{"級別":"L2","單字":"bedroom","答案1":"臥室","答案2":"講授","答案3":"使固定","答案4":"鵝"},
{"級別":"L2","單字":"beef","答案1":"牛肉","答案2":"鹹肉","答案3":"使命","答案4":"阿斯匹林"},
{"級別":"L2","單字":"beep","答案1":"嗶嗶聲","答案2":"定義","答案3":"使更新","答案4":"計算器"},
{"級別":"L2","單字":"beer","答案1":"啤酒","答案2":"胸針","答案3":"使吃過量；吃得過多","答案4":"徹底討論探究；帆布"},
{"級別":"L2","單字":"beetle","答案1":"甲蟲；懸垂","答案2":"繼承人","答案3":"使人毛骨悚然的東西","答案4":"星系"},
{"級別":"L2","單字":"beg","答案1":"請求","答案2":"符咒","答案3":"享樂","答案4":"首先"},
{"級別":"L2","單字":"beginner","答案1":"初學者","答案2":"演說","答案3":"享受...的樂趣","答案4":"火"},
{"級別":"L2","單字":"belief","答案1":"信任","答案2":"地圖","答案3":"事務","答案4":"女演員"},
{"級別":"L2","單字":"believable","答案1":"可信的","答案2":"殖民的","答案3":"事先查看","答案4":"讓步"},
{"級別":"L2","單字":"belt","答案1":"帶子","答案2":"情形","答案3":"事件","答案4":"足"},
{"級別":"L2","單字":"bench","答案1":"長椅子","答案2":"出售","答案3":"乳酪","答案4":"危險"},
{"級別":"L2","單字":"bend","答案1":"彎曲","答案2":"食","答案3":"防護物","答案4":"不是必要的"},
{"級別":"L2","單字":"besides","答案1":"此外；除...之外","答案2":"比較","答案3":"防止","答案4":"具體的"},
{"級別":"L2","單字":"bet","答案1":"賭","答案2":"鼓掌歡迎","答案3":"里程碑","答案4":"曖昧的"},
{"級別":"L2","單字":"beyond","答案1":"在...較遠的一邊","答案2":"嘶嘶作聲","答案3":"辛苦","答案4":"圖表"},
{"級別":"L2","單字":"bill","答案1":"帳單","答案2":"寂寞的","答案3":"車間","答案4":"紗"},
{"級別":"L2","單字":"bind","答案1":"綁","答案2":"想","答案3":"足球","答案4":"生長"},
{"級別":"L2","單字":"bitter","答案1":"苦的","答案2":"九","答案3":"豆","答案4":"香蕉"},
{"級別":"L2","單字":"blackboard","答案1":"黑板","答案2":"領會","答案3":"角錐﹑棱椎","答案4":"競爭者"},
{"級別":"L2","單字":"blank","答案1":"空白的","答案2":"房間","答案3":"角落","答案4":"過程"},
{"級別":"L2","單字":"blind","答案1":"瞎的","答案2":"線索","答案3":"肖像","答案4":"犯"}]
